language,id,country,organization,surname,status,date_feedback,is_disliked_by_me,reference_initiative,is_liked_by_me,first_name,feedback,login,publication,user_type,company_size,publication_status,publication_id,scope,governance_level,feedback_text_user_language,tr_number
en,3498643,ITA,Arvedi Group,,PUBLISHED,2024-11-28 11:02:19,False,Ares(2024)7742910,False,,Please find attached the Arvedi Group feedback,,anonymous,company,large,closed,33195975,,,,
en,3498641,DNK,Orsted,Ermler,PUBLISHED,2024-11-28 10:42:59,False,Ares(2024)7742910,False,Andreas Skak,"Orsted welcomes the EC consultation on CBAM declarants authorization. It is unclear if the framework will permit fiscal representation where the party wishing to import CBAM goods is not authorised to import. Usually, importers who are not established in the EU can have a tax registered company to act on their behalf for administrative obligations and managing VAT affairs while dealing with the tax authorities. It should be clarified if this is possible when it comes to CBAM, as this will facilitate, among other things, DPP shipments of CBAM goods. It should also be clarified, if goods can be imported into a bonded warehouse pending authorisation of the importer. In the event of an importer not being an authorised CBAM declarant, will the regulations allow for storage of CBAM goods in a bonded warehouse? Especially if such goods are not subject to VAT and customs. In which case will the system be able to compute the penal sum based financial obligation for CBAM that is due? We remain available for discussion in case of further questions. Please do not hesitate to contact Andreas Ermler at aerml@orsted.com",,withinfo,company,large,closed,33195975,,,,870817015429-80
en,3498573,BEL,Baker Hughes,Piotrowska,PUBLISHED,2024-11-27 18:42:00,False,Ares(2024)7742910,False,Kamila,"Baker Hughes is a leading energy technology company that provides solutions for energy and industrial customers worldwide. We design, manufacture, and service transformative technologies to help take energy forward making it safer, cleaner, and more efficient for the people and the planet. While we operate globally, Europe is a key market and corporate home for Baker Hughes. Across the EU, Norway and the UK, Baker Hughes employs approximately 17,000 people in engineering, manufacturing, and research and development roles. Having gained valuable insights during the Carbon Border Adjustment Mechanism (CBAM) reporting cycle, we would like to share our observations and recommendations in relation to the upcoming supplementary CBAM legislation. Additionally, we have provided comments on the future legislative steps regarding the requirements and the expansion of the EU CBAM. Recommendation: Ensure smooth submission of data via the CBAM registry. As a truly European company with numerous legal entities across various EU countries, we are currently required to manage a separate Economic Operators Registration and Identification (EORI) for each of our entities that need to comply with the CBAM requirements. This necessitates the appointment of a declarant with access to the CBAM transitional registry for each legal entity, meaning we need around 30 trained staff members to ensure compliance with CBAM requirements across our operations. At present, this situation is resource- and time-intensive, placing a significant administrative burden on our teams. To streamline this process and improve operational efficiency, we recommend introducing the option to allocate multiple EORIs to one declarant within the permanent CBAM registry. By centralizing the process and appointing fewer declarants, we believe companies could simplify internal workflows, enhance the effectiveness of data collection, and ensure stronger governance to comply with the CBAM requirements. This approach would ultimately reduce the administrative load while maintaining the integrity of the regulatory framework. Further details can be found in the attachment.",,withinfo,company,large,closed,33195975,,,,914064836171-27
en,3498544,BEL,European Express Association (EEA),Shearman,PUBLISHED,2024-11-27 17:16:08,False,Ares(2024)7742910,False,Alex,The European Express Association (EEA) is pleased to provide its feedback to the consultation regarding the establishment of CBAM registry in its attached letter. The EEA is available to address any questions or requests for clarification via our Secretariats functional email: tfc@euroexpress.org.,,withinfo,business_association,large,closed,33195975,,,,1894704851-83
fr,3498534,FRA,Union TLF Overseas,,PUBLISHED,2024-11-27 16:51:36,False,Ares(2024)7742910,False,,"TLF Overseas est la fédération représentative des représentants en douane enregistrés français. En tant qu'utilisateurs du registre MACF pour la période transitoire, nos adhérents nous ont fait remonter plusieurs points d'amélioration sur lesquels nous souhaiterions vous alerter : - l'interface est difficile d'utilisation pour les importateurs, qui ont des difficultés pour se connecter et pour déposer des rapport sans assistance. Il nous paraît important que le registre final puisse être facile d'accès et d'utilisation pour les déclarants MACF. - Pour cela, l'ensemble des acronymes devraient être traduits dans la langue d'utilisation du registre. Les messages d'erreurs envoyés par le registre doivent aussi indiquer quelles sont les opérations à effectuer pour résoudre la source de cette erreur (exemple : indication du champ à modifier, validation des rapports en mode ""draft"" ou en mode ""définitif"", cases exclusives - il est aujourd'hui possible de cocher dans un unique profil, les cases ""déclarant rapporteur"" et ""représentant"", etc.) - Il faudrait intégrer une interface de contact / help desk (messagerie instantanée, prises de rdv avec une personne physique, etc.) à la plateforme pour bénéficier d'une assistance ou d'une validation des demandes de la part de l'opérateur. Par exemple, pour bénéficier d'un report de déclaration, un numéro de report délivré par l'autorité compétente est nécessaire. Or il est impossible d'obtenir ce numéro dans le registre, ce qui empêche les opérateurs concernés de faire leurs déclarations. Nous saluons la possibilité pour les installations de s'enregistrer dans le registre pour y renseigner des informations sur les émissions de carbone. De manière générale, nous encourageons toutes les fonctionnalités qui permettent aux opérateurs établis dans les pays tiers à s'investir dans le MACF. En revanche, nous constatons quand même une réticence de ces derniers à partager les informations. Certaines entreprises tierces ont même rendue payantes les données d'emissions à déclarer dans les rapports trimestriels. Dans la mesure où il été décidé de ne pas exclure les petits importateurs du MACF, un accompagnent accru et une expérience utilisateur optimisée du registre MACF seront indispensable pour augmenter le nombre d'entreprise en conformité. Nous remercions la Commission européenne pour l'opportunité de contribuer à cette consultation publique et restons à sa disposition pour toute précision utile.",,anonymous,business_association,small,closed,33195975,,,"TLF Overseas is the representative federation of French registered customs representatives. As users of the CBAM registry for the transitional period, our members have sent us several points of improvement on which we would like to alert you: — the interface is difficult to use for importers, who have difficulties in connecting and submitting reports without assistance. We consider it important that the final registry can be easily accessible and usable for CBAM declarants. — To that end, all acronyms should be translated into the language in which the register is used. The error messages sent by the register should also indicate which transactions need to be carried out in order to resolve the source of the error (e.g.: indication of the field to be modified, validation of reports in draft or final mode, exclusive boxes – it is now possible to tick in a single profile, the “rapporteur” and “representative” boxes, etc.) – A contact/help desk interface (instant messaging, rdv sockets with a natural person, etc.) should be integrated into the platform to receive assistance or validation of requests from the operator. For example, in order to benefit from a deferred declaration, a deferral number issued by the competent authority is required. However, it is impossible to obtain this number from the register, which prevents the operators concerned from making their declarations. We welcome the possibility for installations to register in the registry for information on carbon emissions. In general, we encourage all functionalities that allow operators established in third countries to engage in CBAM. On the other hand, we still see a reluctance on the part of the latter to share information. Some third party companies even paid for the emissions data to be reported in the quarterly reports. As it has been decided not to exclude small importers from the CBAM, an increased support and optimised user experience of the CBAM registry will be indispensable to increase the number of compliant companies. We thank the European Commission for the opportunity to contribute to this public consultation and remain at its disposal for any useful clarification.",936528650712-80
en,3498532,BEL,CEMBUREAU,Brutin,PUBLISHED,2024-11-27 16:37:29,False,Ares(2024)7742910,False,Emmanuel,Please find attached a statement co-signed by CEMBUREAU on the transparency of the CBAM registry.,,withinfo,business_association,small,closed,33195975,,,,93987316076-63
en,3498526,DEU,VDMA e.V,Maria,PUBLISHED,2024-11-27 16:30:10,False,Ares(2024)7742910,False,Brakatsoula,"With more than 3,600 members, the VDMA is the largest network organization and an important voice for the machinery and equipment manufacturing industry in Germany and Europe. The association represents the common economic, technical and scientific interests of this unique and diverse industry. VDMA member companies produce many different technological solutions for climate protection and are enablers in the transition to a net-zero economy. However, VDMA believes the CBAM mechanism still needs significant improvement in order to ensure both the competitiveness of European export-oriented companies in the mechanical engineering sector and to attain the desire climate-impact of the CBAM. Considering the authorization of CBAM declarants, our member companies take a cautious view on placing the authorization burden highly on the national authorities considering the lack of administrative support at national level during the first year of CBAM reporting obligations. VDMA encourages the European Commission to support NCAs with CBAM implementation, including mandatory training for the CBAM registry as indicated in Article 17. In more concrete points: 1. For smoother CBAM implementation, VDMA supports that the CBAM declarants test the CBAM registry together with the Member States. This would allow companies to familiarize themselves with the different functions and make suggestions for improvements aiming to accelerate the whole process, while making user-friendly. In this way, current unsuitable functions of the CBAM Portal, such as using Mwh for the energy input, would be avoided minimizing the urge for technical updates bringing new features that need further clarification. The changes at the CBAM portal introduced in October 2024 resulted in significant challenges for companies. In some cases, businesses were required to recreate their reports from scratch, despite the fact the imminent reporting deadline was later that month. This situation underpins the importance of planning and testing technical changes to minimize disruptions and support compliance efforts effectively. 2. Based on feedback from our members regarding Article 19 (Specific role of the Commission and the competent authorities), there is a need for greater clarity on handling challenges, particularly technical issues. This is especially important as CBAM declarants may need to interact with both the Commission and national competent authorities, potentially leading to overlapping responsibilities and added complexity. Clear guidelines on roles and actions are essential to streamline processes and avoid confusion. 3. VDMA calls for mandatory training for the NCAs organized by the European Commission under Article 17 to accelerate efficiency and proper implementation.",,withinfo,business_association,large,closed,33195975,,,,976536291-45
en,3498521,BEL,ArcelorMittal,Jeekel,PUBLISHED,2024-11-27 16:12:55,False,Ares(2024)7742910,False,Robert Jan,Please find the input in the attached paper,,withinfo,company,large,closed,33195975,,,,23527541824-60
en,3498500,BEL,CLEPA ,Poty,PUBLISHED,2024-11-27 15:14:23,False,Ares(2024)7742910,False,Archibald,"CLEPA welcomes the initiative to establish a CBAM registry, which holds significant potential to improve data exchange. By streamlining processes and supporting compliance, the registry could play a pivotal role in facilitating smoother operations. Furthermore, the registry offers an opportunity for competent authorities to share the burden of challenging third-country operators when data are missing or lack precision. While these opportunities are promising, CLEPA emphasises the need to address several pressing issues to ensure the CBAM is both effective and manageable. 1. Access to data remains a critical challenge. One of the main challenges in the CBAM is the lack of access to accurate and timely emissions data. A recent survey of CLEPA members revealed that 65% of automotive suppliers receive actual emissions data from less than 10% of their own suppliers. This significant data gap underscores the difficulty of tracking and reporting emissions, particularly for iron and steel products that move through multiple layers of the supply chain. Additional barriers include the inability to switch suppliers due to existing contractual obligations or the need for regulatory approvals, including complex safety certifications. We recommend allowing the use of default or industry-standard emissions values until a substantial portion of suppliers can provide verified data. We further suggest excluding one-time shipments (e.g., for testing purposes) and incorporating provisions for samples and non-recurring deliveries. 2. Administrative burden and compliance costs. The current administrative requirements of CBAM pose substantial challenges. The administrative burden and costs can amount to several hundred thousand euros per reporting period. While the CBAM registry is already a step forward, we recommend the Commission to continue addressing the administrative burden issue. One suggestion would be to streamline the Excel template by focusing on mandatory fields and anticipated future needs (e.g. direct vs. indirect emissions after 2026). To further support compliance, we suggest translating key documents into key partner languages. 3. Proposal for a Weight-Based and CBAM registration Threshold. The current CBAM applies uniform reporting requirements when the value of the shipment is EUR 150 or more. We believe that a weight-based per-shipment threshold would be a more practical and efficient approach. This has proved effective in the risk-based implementation of the REACH regime, where a 1T annual volume threshold excludes compliance requirements for one-off shipments. Higher thresholds would target larger consignments with greater environmental impact, reducing administrative burden. Additionally, an overall customs value threshold, such as the UKs proposed £50,000, combined with a weight-based limit, would ease the reporting burden for low-value, low-impact imports. 4. Allow the company to report for its subsidiaries. The current CBAM poses challenges for multi-subsidiary companies by requiring separate filings tied to each subsidiarys EORI number, even within the same parent company. This increases administrative burden and inefficiencies. Allowing a central filing option, where one entity handles CBAM declarations for all subsidiaries, would streamline compliance, reduce duplication, and better reflect the integrated operations of multinational businesses 5. Allow for Retrospective CBAM registration after import to prevent import blockages. A key forward-looking risk under the current CBAM is that, from 1 January 2026, EU customs authorities will block imports if the importer is not registered as an authorised CBAM declarant. This poses a significant risk to CLEPA members who may need to import CBAM-relevant goods on an ad-hoc basis. Since the CBAM scope includes parts and downstream products essential for machinery, critical goods for automotive, supply chains risk being delayed at the border, causing operational disruption.",,withinfo,business_association,small,closed,33195975,,,,91408765797-03
de,3498493,DEU,BDI,HEIN,PUBLISHED,2024-11-27 15:02:43,False,Ares(2024)7742910,False,Joachim,"Bundesverband der Deutschen Industrie zum Entwurf der Durchführungsverordnung zum CBAM-Register Im Artikel 9 ist für die Declarants keine Möglichkeit zum Up- und Download von Daten vorgesehen. Diese Möglichkeit wird in Artikel 11 (NCA Portal) für die NCA explizit vorgesehen. Die Declarants sollten zumindest die Berichte etc. automatisiert hochladen und herunterladen können und gesichert Zugriff auf eine Testumgebung haben. Declarants sollten zudem Zugriff (Download-Berechtigung) auf die durch die NCA bzw. Zollbehörden ans Register übermittelten Daten erhalten. Die meisten Aussagen im Entwurf sind vage und erlauben daher keine Rückschlüsse auf die konkrete Implementierung und den dadurch ausgelösten Aufwand bei den Declarants/ Operators. Zum Beispiel in Artikel 21, Abs. 2. : The operators may access ... Wie sollen die Declarants die Operators kontaktieren, um Zugriff zu erhalten? Müssen die Operators alle Declarants einzeln freischalten? Ist eine Maschine-Maschine-Kommunikation vorgesehen, und wenn ja, wie genau? Wir bitten, die Rückmeldungen als vorläufig zu verstehen, denn die Unternehmen sind noch dabei, Umfang und Tragweite zu erfassen. Offenheit für weitere Verbesserungsvorschläge im Laufe des Prozesses sehen wir als eine Grundvoraussetzung für eine sinnvolle weitere Entwicklung. Sollten sich betroffene Unternehmen bei dieser/diesen Feedback-Runde/n nicht zu Wort melden, sollte dies nicht als Zustimmung zu den Entwürfen gewertet werden.",,withinfo,business_association,medium,closed,33195975,,,"Federal Association of German Industries on the draft Implementing Regulation for the CBAM Register. Article 9 does not provide for the possibility for declarants to upload and download data. This possibility is explicitly provided for in Article 11 (NCA Portal) for NCAs. The declarants should at least be able to automatically upload and download the reports etc. and have secured access to a test environment. Declarants should also have access (download authorisation) to the data transmitted by the NCA/customs authorities to the registry. Most of the statements in the draft are vague and therefore do not allow conclusions to be drawn as to the actual implementation and the resulting burden on declarants/operators. For example, in Article 21(2).  The operators may access... How should the declarants contact the operators to get access? Do operators have to activate all declarants individually? Is machine-to-machine communication planned and, if so, how exactly? We would ask you to consider the feedback as provisional, as companies are still in the process of capturing the scope and scope. We see openness to further suggestions for improvement throughout the process as a prerequisite for meaningful further development. If affected companies do not take part in this round(s) of feedback, this should not be considered as approval of the drafts.",1771817758-48
en,3498480,NLD,Signify Netherlands B.V.,,PUBLISHED,2024-11-27 14:15:15,False,Ares(2024)7742910,False,,Thank you for the opportunity to comment on the implementing act on the CBAM registry. We would like to ask you to consider the points listed in the attached document.,,anonymous,company,large,closed,33195975,,,,943095936679-05
en,3498444,BEL,Fertilizers Europe,barahman,PUBLISHED,2024-11-27 11:29:22,False,Ares(2024)7742910,False,jasmine,Please find attached a joint paper by European Associations representing CBAM sectors stressing the importance of aligning the transparency requirments of the CBAM Registry with the EU ETS Registry.,,withinfo,business_association,small,closed,33195975,,,,80788715017-29
en,3498391,KOR,Korea Iron and Steel Association,SONG,PUBLISHED,2024-11-27 01:36:32,False,Ares(2024)7742910,False,WOOJIN,"On behalf of the Korean steel industry, KOSA(Korea Iron and Steel Association) submits an official statement as attached.",,withinfo,business_association,small,closed,33195975,,,,
en,3498371,TUR,,Mese,PUBLISHED,2024-11-26 20:56:09,False,Ares(2024)7742910,False,Rabia,"The embedded emissions data must be accurately detailed in CBAM reports. However, challenges arise in obtaining this information from suppliers in a regular and timely manner. In particular, some suppliers in third countries either fail to provide the necessary data or do not respond to requests. This results in gaps in CBAM reporting, posing a risk to compliance with the regulation. Addressing this issue requires enabling suppliers in third countries to access the CBAM registry system to facilitate data submission and ensure regulatory adherence. Similar private sector perspectives have been gathered in Türkiye and will subsequently be conveyed to the European Commission",,withinfo,non_eu_citizen,,closed,33195975,,,,
en,3498366,BRA,Brazilian National Confederation of Industry (CNI),Mauro,PUBLISHED,2024-11-26 19:58:53,False,Ares(2024)7742910,False,Pietra,Please find attached the feedback from the Brazilian National Confederation of Industry (CNI).,,withinfo,business_association,large,closed,33195975,,,,
en,3498334,USA,Beta Analytic,Ballasi,PUBLISHED,2024-11-26 17:26:21,False,Ares(2024)7742910,False,Jessica,"We welcome the establishment of a CBAM Registry to improve the transparency and traceability of the CBAM certificates management, declarations and applications. However, it is essential to ensure that the data reported are accurate to ensure the mechanisms goals are met. One of the main concerns regarding calculating emissions associated with precursor goods in CBAM goods is the risk of over / underpricing carbon emissions due to the lack of appropriate data and the use of methodologies, which have proven problematic. If one of the main goals of the CBAM scheme is to align the ETS requirements with CBAM goods, the scheme should take into account a different carbon pricing for goods produced that emitted emissions with a higher biogenic content. This would ensure that a comparable carbon price is paid on imported emissions and domestic emissions and is applied fairly to EU imports in line with the WTO obligations. One of the main requirements of the EU ETS is direct C-14 testing following ISO EN 13833, ISO 18466 or ASTM D6866 for stationary source emissions seeking to claim biogenic content. Hence, we recommend that the mechanism should include provisions about carbon pricing for emissions with a higher biogenic content. More specifically, the CBAM certificates within the CBAM registry seeking the recognition of biogenic content must be issued following direct testing following recognized scientific standards such as ASTM D6866 Method B, BS EN ISO 21644 Annex A, and ISO 13833 Annex A. One of the main goals of the EU CBAM is to prevent carbon leakage and align international companies' obligations with EU companies obligations. To do so, the emissions produced by CBAM goods must be determined accurately, especially as calculation methodologies have proven to be misused in many countries outside of the EU to artificially increase the biogenic content of products. In this regard, the only reliable method to accurately determine the biogenic content of the emissions is the Carbon-14 methodology.",,withinfo,other,small,closed,33195975,,,,
en,3498323,BEL,Eurometaux,Nascimento,PUBLISHED,2024-11-26 16:35:11,False,Ares(2024)7742910,False,Bernardo,"Please refer to Eurometaux's position paper attached providing the position and main recommendations of the non-ferrous metals industry on the Commissions draft Implementing Regulation on the CBAM registry. Moreover, you'll also find in the attachment a separate Joint Paper by CBAM sectors discussing the intransparency of the CBAM Registry vs ETS Registry in greater detail. We welcome the Commissions initiative to set up the framework for the establishment of an electronic database to manage a variety of CBAM-related elements, such as CBAM declarations and accredited CBAM verifiers the CBAM registry. The position paper attached identifies certain inconsistencies in the draft text establishing the CBAM registry while providing respective solutions for the issues identified. We have pinpointed various elements of the draft Implementing Regulation that could benefit from refinement and present the relevant recommendations in the position paper attached to enhance its effectiveness and comprehension: 1. Responsibility for communicating decisions on penalties; 2. Legal clarity in Article 10; 3. Defining business continuity plan""; 4. Unclear balance between data confidentiality and data sharing. Please see Eurometaux's paper attached for a full explanation and relevant recommendations to fix the issues identified above.",,withinfo,business_association,small,closed,33195975,,,,61650796093-48
en,3498295,TUR,YEŞİLOVA HOLDİNG,ÇETİNTAŞ,PUBLISHED,2024-11-26 13:06:59,False,Ares(2024)7742910,False,EDA,"Dear Authorities, The definition and functionality of the ""CBAM Operators Portal"" is a very important point within the scope of the draft regulation. However, it has been observed that the details regarding the scope of the portal are not clear in the draft text. In particular, it is unclear whether the institutions (raw material suppliers) that perform embedded emission calculations are included in this scope. In this context, we think that the following issues should be clarified: 1. Scope of the Portal: It should be clarified whether only importers and actors directly carrying CBAM obligations will be included in the CBAM Operators Portal or whether raw material suppilers that perform embedded emission calculations will also be integrated into the system. 2. Difficulty of the Process and Adaptation: The obligations brought by CBAM require a difficult process for all stakeholders in the sector, both technically and operationally. In particular, it will not be easy for the CBAM Operators Portal to be used effectively and for all stakeholders to adapt to the process quickly. Therefore, we would like to emphasize that additional support mechanisms (e.g. guidance documents, training programs, technical support lines) should be provided during the implementation process. 3.Product-Specific Processes and Emissions Data: The manufacturing processes for our products can vary significantly based on customer-specific requirements, resulting in different carbon calculations for various product types. In the online declaration system, emissions data for multiple product types will be reported and shared centrally. In this context, it remains unclear whether customers will be expected to independently select the appropriate emissions data for their specific products or whether we, as suppliers, will have the ability to directly provide and share the precise emissions values relevant to each customers product. The success of CBAM can only be achieved with accurate and reliable emission calculations. Therefore, we believe that it is critical for both the operation of the system and the implementation that the institutions performing embedded emission calculations are included among the actors defined in the portal.",,withinfo,company,large,closed,33195975,,,,
en,3498287,POL,Polish Steel Association (HIPH),Zagorska,PUBLISHED,2024-11-26 11:25:18,False,Ares(2024)7742910,False,Marta,"As the Polish Steel Association (HIPH), we would like to present our position on the public consultation regarding the draft Regulation on the CBAM Registry. The draft Regulation offers a critical opportunity to reflect on the design and functionality of the electronic infrastructure necessary for the implementation of the Carbon Border Adjustment Mechanism (CBAM). While it is essential to maintain the confidentiality of sensitive business information, a high level of transparency in the CBAM Registry is crucial for public scrutiny and input. This transparency can lead to more robust and well-considered policies. We have serious concerns about the expected lack of transparency in the CBAM Registry, especially when compared to the EU Emissions Trading System (EU ETS) Registry. The current CBAM legal framework, particularly article 21 of the draft CBAM Registry Regulation and article 14 of the basic CBAM Regulation 2023/956, effectively deems all information in the CBAM Registry as confidential. The Commission would only publish an annual report on total aggregated emissions by CBAM goods. In contrast, the EU ETS Registry Regulation 389/2013 (Annex IX) provides public access to most relevant information, including contact details of European installations and details on total emissions and free allocation for each installation. This high level of transparency is linked to Directive 2003/4/EC on public access to environmental information, which is explicitly referenced in the ETS Registry Regulation. However, no such reference is included in the Draft CBAM Registry Regulation. We urge EU institutions to revise the draft CBAM Registry Regulation and review the relevant provisions of the basic CBAM Regulation during the 2025 revision. It is essential to ensure that the CBAM registry is as transparent as the EU ETS Registry. For instance, this consistency requires that contact details of CBAM declarants and third-country operators, as well as total emissions and total available CBAM certificates for each of them, are made publicly accessible.",,withinfo,business_association,micro,closed,33195975,,,,890804512955-21
en,3498285,JPN,Anonymous,,PUBLISHED,2024-11-26 11:11:27,False,Ares(2024)7742910,False,,We would like to submit our feedback as an attached file.,,anonymous,business_association,medium,closed,33195975,,,,
de,3498266,AUT,WKÖ / Austrian Federal Economic Chamber - Section Industry,Brenner,PUBLISHED,2024-11-26 08:38:41,False,Ares(2024)7742910,False,Wolfgang,Bitte finden Sie unsere Kommentare im hochgeladenen Dokument. Please find our comments in the upload.,,withinfo,business_association,large,closed,33195975,,,Please find our comments in the uploaded document. Please find our comments in the upload.,10405322962-08
en,3498264,TWN,"Ministry of Economic Affairs,R.O.C.",Lu,PUBLISHED,2024-11-26 06:43:51,False,Ares(2024)7742910,False,Mengshan,"Clarification 1.Application Process. Art10 According to Article 10 of the draft, operators apply to the European Commission for access to the registry, submitting legal registration details of the operator in country of establishment, including name, address, contact information, and national corporate registration number. The following clarifications are requested: (1). What is the estimated timeframe for the European Commission to approve the operators application? (2). If there are errors in the submitted information, is it possible to make corrections? 2.Registration Data. Art21 Article 21, Paragraph 2 on data access, data processing, and data confidentiality states that with the operators authorization, the EU CBAM declarant may access the personal data registered by the operators on the CBAM registration platform. The following clarifications are requested: (1). When third-country producers agree to allow EU CBAM declarants to use their personal data, does this include access to the producers' trade secrets (e.g., production technical parameters, geographical coordinates of production facilities)? (2). While the draft allows CBAM declarants to use data from third-country producers on the CBAM platform, would it also allow third-country producers, with CBAM declarants consent, to review CBAM declarants data on the platform to verify the accuracy of these data?",,withinfo,public_authority,large,closed,33195975,national,authority,,
en,3498260,SVK,Anonymous,,PUBLISHED,2024-11-25 22:35:02,False,Ares(2024)7742910,False,,"1.) Introduction of an option to export the drafted or submitted CBAM report as a .xml file from the CBAM portal. 2.) The introduction of a third option for the determination type of Direct or Indirect embedded emissions in the CBAM portal Actual Data Partially Available would be beneficial. In my view, this option would enable declarants to accurately compile CBAM reports in situations where, as is often the case, the importer has supplied incomplete data (e.g., providing only the embedded emission figures in t CO2e per ton of product without any further explanation or clarification). Since some jurisdictions have implemented sanctions based on non-reported emissions, it would be advantageous for declarants to have the option to report incomplete data.",,anonymous,other,large,closed,33195975,,,,
en,3498235,BEL,FECC,Khrystych,PUBLISHED,2024-11-25 16:38:12,False,Ares(2024)7742910,False,Diana,"Fecc acknowledges the consultation on the establishment of the CBAM Registry and welcomes the opportunity to provide input. In this consultation, we would like to raise the following points: 1. Fecc supports the legislative initiative and appreciates the flexibility of the reporting requirements. According to the proposal, these requirements should be limited to what is necessary to minimise the burden on importers during the transitional period and facilitate the smooth roll-out of the CBAM declaration requirements after the transitional period. 2. The CBAM adds an additional administrative burden to companies importing goods into the EU. Additional costs are added to the price of the products, which leads to a reduction in market attractiveness and competitiveness. o Currently, it is not necessary to have a Certificate of Origin when importing goods into the EU. The process of acquiring such a document can take time and lead to additional costs. o It is also worth considering the burden on enterprises during the preparation and submission of information to the new reporting form. Especially since the dedicated IT tools mentioned in the proposal are still under development and require additional training and guidance materials for those who will use them. 3. The data submitted according to CBAM can fluctuate, which can be perceived as intentional or negligent behaviour by the reporting declarant. According to the proposal, new reporting requires changes in the calculations of emission factors, basing them on quantity data, while the vast majority of non-EU countries still use invoice value for this purpose. The required changes will lead not only to inaccurate data because this indicator (net mass) is harder to obtain and maintain, but also will require third countries to change their systems in customs and accompanying documentation. Fecc is the association that represents chemical, food, and active pharmaceutical ingredients distributors, most of which are SMEs. We believe that sustainability and an integral regulatory framework go hand-in-hand. Consistency between internal and external policies should be achieved to improve the international standing of the EU, strengthen the credibility of our values and actions, and most importantly, improve the protection of the environment globally. We would be happy to engage further with the Commission to address climate change a global problem that needs global solutions.",,withinfo,business_association,micro,closed,33195975,,,,0346440357-87
en,3498222,BEL,EUROFER,AIELLO,PUBLISHED,2024-11-25 14:38:52,False,Ares(2024)7742910,False,Adolfo,"Please find attached the feedback from EUROFER, supported also by European trade associations representing other CBAM sectors",,withinfo,business_association,small,closed,33195975,,,,93038071152-83
en,3498213,BEL,EUROMOT - The European Association of Internal Combustion Engine and Alternative Powertrain Manufacturers,Poher,PUBLISHED,2024-11-25 11:26:21,False,Ares(2024)7742910,False,Aliénor,"Please find feedback available in the attached document. EUROMOT, the European Association of Internal Combustion Engine and Alternative Powertrain Manufacturers, represents the key manufacturers of internal combustion engines and alternative powertrains installed in industrial non-road mobile machinery, marine and stationary applications that are operating in Europe and worldwide. Founded in 1991, we provide an unparalleled heritage and hub of expertise for businesses, authorities, regulators, and public stakeholders worldwide. In partnership with major sector associations and institutions, it is our mission to drive smart regulation and sustainable innovation.",,withinfo,business_association,micro,closed,33195975,,,,6284937371-73
en,3498211,CZE,Ministry of Finance,,PUBLISHED,2024-11-25 10:48:49,False,Ares(2024)7742910,False,,The comments on behalf of the Ministry of Finance of the Czech Republic are set out in the Annex.,,anonymous,public_authority,large,closed,33195975,national,authority,,
en,3498091,NLD,Veros Solutions BV,Lommen,PUBLISHED,2024-11-19 12:50:23,False,Ares(2024)7742910,False,Peter,"1. Connectivity (Art. 9). It should be possible for external CBAM tools used by declarants to create CBAM declarations (and manage CBAM obligations) to submit these to the Registry using an API connection, rather than manual xml uploads. Many importers have CBAM obligations across multiple EORI numbers, and connecting their CBAM tool directly to the Registry would seriously reduce manual workload. This connectivity should extend to follow-up communications and status messages as well as any future communication regarding the number of CBAM Certificates held on a quarterly basis. 2. Emissions Database (Art. 10). The Operators database should be an open access database, accessible via a secure API. In a recent update on the TAXUD website it was suggested the data provided by Operators would only be accessible to Importers in the process of creating the CBAM Declaration within the Registry itself. Since many importers create their CBAM report in dedicated systems then upload to the Registry, the emissions data should be available to these systems as well. Currently, the XML upload process in the Transitional Registry requires the emissions data to be completely populated, otherwise the XML is rejected in its entirety. If emissions data stored in the Operators database within the Registry is only accessible when manually creating the Declaration in the Registry itself, the XML upload process is effectively cut off. Furthermore, there are also multiple upstream uses of this data, such as strategic sourcing decisions as well as simplifying the process of determining which suppliers need to be individually approached for data by the Importer. Hiding this data until the CBAM declaration process after year-end is an underutilization of this critical data. 3. Test Environment - Software providers should be given access to a test environment of the Registry. This was not the case for the Transitional Registry, complicating development of the XML message for upload and requiring software makers to use live environments of their customers for testing. 4. Helpdesk - There should be a dedicated Registry technical helpdesk on EU Commission level. The current set up whereby technical questions need to be raised via national helpdesks leads to delays in communication and misunderstandings. 5. Software working group - We would welcome the creation of a working group of software makers in the CBAM space, to provide feedback on development of the Registry and its interoperability with 3rd party software. This is commonplace on national level, in the Customs space and is mutually beneficial in supporting importers to be compliant effectively and efficiently. The same should apply for CBAM.",,withinfo,company,micro,closed,33195975,,,,
