cause,cause_remapped,fcm_cause_remapped,effect,fcm_effect_remapped,effect_type,confidence,top_keyword_score,keywords,similarity_score,weight,full_answer,direction,net_effect
chain emissions liability,supply chain traceability,supply chain traceability,carbon accounting,carbon accounting,increase,0.35195297,0.6134,"[('liability', 0.3894), ('blockchain', 0.3596), ('emissions', 0.3543), ('kaplan', 0.1411), ('proposes', 0.0036), ('liability methodology', 0.5333), ('blockchain regulation', 0.466), ('change carbon', 0.2055), ('institute proposes', 0.1712), ('kaplan highlights', 0.0771), ('chain emissions liability', 0.6134), ('blockchain technology', 0.3768), ('methodology kaplan highlights', 0.2562), ('professors profit organization', 0.2186), ('track scope supply', 0.1898)]",0.7143294215202332,1,"their e liability methodology solution aims to change how carbon reporting is carried out, but needs several conditions to ensure its effectiveness. both academics point to the importance of regulation to promote adoption of the methodology, and kaplan highlights the benefits of blockchain technology to ensure traceability of carbon emissions data. the e liability institute, founded by the two professors, is a not for profit organization supporting businesses to track scope 3 supply chain emissions. the e liability methodology, which was first published in late 2021 in the harvard business review, advises that $ s =. 7 aa. 4 | 10 | november 2023 | the accountant the e liability institute proposes carbon reporting where emissions occur, with blockchain and regulation driving adoption.",1,0.3519529700279236
carbon leakage,EU CBAM,EU CBAM,carbon accounting,carbon accounting,increase,0.9891102,0.9675,"[('carbon', 0.613), ('leakage', 0.5971), ('carbon leakage', 0.9675), ('carbon', 0.613), ('leakage', 0.5971), ('carbon leakage', 0.9675), ('carbon', 0.613), ('leakage', 0.5971)]",0.7301397919654846,-1,a carbon border adjustment mechanism important to achieve a level playing field and decrease the risk of carbon leakage.,-1,0.9891101717948914
harmful economic effects,carbon leakage,carbon leakage,carbon accounting,carbon accounting,effect,0.3731808,0.9847,"[('harmful', 0.6006), ('economic', 0.5839), ('effects', 0.4804), ('harmful economic', 0.9099), ('economic effects', 0.8031), ('harmful', 0.6006), ('economic', 0.5839), ('effects', 0.4804), ('harmful economic effects', 0.9847), ('economic effects', 0.8031), ('harmful', 0.6006), ('economic', 0.5839), ('effects', 0.4804)]",0.7262449860572815,0.5,i support this measure to support an effort to mitigate the harmful economic effects of carbon leakage.,0,0
climate policy,EU climate policy,EU climate policy,carbon borders,carbon borders,increase,0.99514294,0.8535,"[('climate', 0.654), ('policy', 0.5394), ('climate policy', 0.8535), ('climate', 0.654), ('policy', 0.5394), ('climate policy', 0.8535), ('climate', 0.654), ('policy', 0.5394)]",0.8089678883552551,1,france and europe have become aware that their climate policy weakens their champions without reducing global emissions and that it leads to the transfer of emissions across borders.,1,0.995142937
eu emission trading,EU ETS reforms,EU ETS reforms,carbon borders,carbon borders,effect,0.19351783,0.9403,"[('emission', 0.487), ('eu', 0.4364), ('trading', 0.4033), ('scheme', 0.2589), ('emission trading', 0.8305), ('eu emission', 0.7648), ('trading scheme', 0.5431), ('eu', 0.4364), ('scheme', 0.2589), ('eu emission trading', 0.9403), ('emission', 0.487), ('eu', 0.4364), ('trading', 0.4033), ('scheme', 0.2589)]",0.7349061369895935,0.5,"our understanding upon reading the cbam inception impact assessment in reading your document, we understood that the eu emission trading scheme (ets) will most likely be the tool used to assess sectors and products worthy of a carbon border adjustment.",0,0
production conditions eu,EU production standards,EU production standards,carbon borders,carbon borders,effect,0.12009026,0.9128,"[('production', 0.4796), ('constraints', 0.4754), ('eu', 0.4554), ('conditions', 0.4395), ('production conditions', 0.7353), ('conditions eu', 0.7195), ('production', 0.4796), ('constraints', 0.4754), ('eu', 0.4554), ('production conditions eu', 0.9128), ('production', 0.4796), ('constraints', 0.4754), ('eu', 0.4554), ('conditions', 0.4395)]",0.7187493443489075,0.5,"agpm estimates that a possible carbon adjustment mechanism at the borders should take into account the constraints on production conditions in the eu, in order to refuse the import of agricultural products or products from agriculture that do not comply with european production standards.",0,0
greater mitigation efforts,global climate ambition,global climate ambition,carbon borders,carbon borders,effect,0.24108022,0.873,"[('mitigation', 0.7374), ('efforts', 0.3714), ('induce', 0.3314), ('greater', 0.2378), ('greater mitigation', 0.8219), ('mitigation efforts', 0.7824), ('efforts', 0.3714), ('induce', 0.3314), ('greater', 0.2378), ('greater mitigation efforts', 0.873), ('induce greater mitigation', 0.8695), ('efforts', 0.3714), ('induce', 0.3314), ('greater', 0.2378)]",0.7249494791030884,0.5,a carbon border adjustment would also induce greater mitigation efforts by indirectly incentivizing investments in carbon clean products in third countries and allowing the spread of meaningful carbon pricing.,0,0
consistent carbon pricing,harmonized carbon pricing,harmonized carbon pricing,carbon borders,carbon borders,effect,0.21831767,0.7378,"[('cbam', 0.5504), ('carbon', 0.384), ('pricing', 0.313), ('consistent', 0.2027), ('emerged', 0.0874), ('carbon pricing', 0.7122), ('cbam emerged', 0.6186), ('consistent carbon', 0.4464), ('ensure consistent', 0.2157), ('emerged', 0.0874), ('consistent carbon pricing', 0.7378), ('cbam emerged', 0.6186), ('consistent', 0.2027), ('emerged', 0.0874), ('ensure', 0.0838)]",0.74121201,0.5,"as eu manufacturers face increasing carbon costs through ets, cbam emerged to ensure consistent carbon pricing across borders.",0,0
increasing carbon costs,harmonized carbon pricing,harmonized carbon pricing,carbon borders,carbon borders,decrease,0.85741055,0.9491,"[('carbon', 0.5857), ('costs', 0.4819), ('increasing', 0.3426), ('face', 0.1879), ('carbon costs', 0.889), ('increasing carbon', 0.7553), ('costs', 0.4819), ('face increasing', 0.3823), ('face', 0.1879), ('increasing carbon costs', 0.9491), ('face increasing carbon', 0.7074), ('costs', 0.4819), ('increasing', 0.3426), ('face', 0.1879)]",0.7611746191978455,-1,"as eu manufacturers face increasing carbon costs through ets, cbam emerged to ensure consistent carbon pricing across borders.",-1,0.8574105501174927
carbon border taxes,introduction of the EU CBAM,EU CBAM,carbon borders,carbon borders,increase,0.94048625,0.8859,"[('imports', 0.4736), ('taxes', 0.437), ('border', 0.4293), ('carbon', 0.3749), ('taxes imports', 0.7511), ('border taxes', 0.6795), ('carbon border', 0.5748), ('imports', 0.4736), ('border', 0.4293), ('carbon border taxes', 0.8859), ('border taxes imports', 0.8153), ('imports', 0.4736), ('taxes', 0.437), ('carbon', 0.3749)]",0.7137479186058044,1,"however, the eu looks to be hoping to go one better than this by bringing in carbon border taxes on imports, something that may prove to be a template for further activity going forward.",1,0.9404862523078918
carbon import tariffs,introduction of the EU CBAM,EU CBAM,carbon borders,carbon borders,effect,0.49702924,0.9769,"[('tariffs', 0.682), ('carbon', 0.4798), ('import', 0.4222), ('carbon import', 0.7876), ('import tariffs', 0.7729), ('tariffs', 0.682), ('carbon', 0.4798), ('import', 0.4222), ('carbon import tariffs', 0.9769), ('carbon import', 0.7876), ('tariffs', 0.682), ('carbon', 0.4798), ('import', 0.4222)]",0.7791070938110352,0.5,minimum carbon pricing is one scenario-but another is the introduction of carbon import tariffs at the borders where carbon heavy goods are being brought in.,0,0
border protection agricultural,phase-out of free allowances,phase-out of free allowances,carbon borders,carbon borders,effect,0.14834113,0.7012,"[('border', 0.422), ('eu', 0.3924), ('agricultural', 0.3798), ('weakening', 0.2816), ('current', 0.1107), ('weakening eu', 0.6003), ('agricultural forestry', 0.4384), ('border', 0.422), ('products', 0.2144), ('current', 0.1107), ('border protection agricultural', 0.7012), ('weakening eu current', 0.5116), ('forestry', 0.3682), ('protection', 0.3005), ('products', 0.2144)]",0.7192594408988953,0.5,any weakening of the eu ' s current border protection for agricultural or forestry products could dramatically undermine efforts to this goal.,0,0
carbon footprint nation,regulatory pressure,regulatory pressure,carbon borders,carbon borders,decrease,0.88730526,0.7405,"[('economies', 0.371), ('carbon', 0.3487), ('expanding', 0.2158), ('reluctance', 0.2014), ('recently', 0.044), ('carbon footprint', 0.6655), ('expanding economies', 0.5398), ('reduced', 0.2889), ('nation', 0.2462), ('reluctance recently', 0.2118), ('carbon footprint nation', 0.7405), ('economies', 0.371), ('reduced', 0.2889), ('needing reduced reluctance', 0.27), ('recently expense expanding', 0.2341)]",0.7484937906265259,-1,"however, with the carbon footprint of every nation needing to be reduced-and some reluctance until recently to do it at the expense of expanding economies-many environmental analysts are suggesting compulsory measures may be the only way forward.",-1,0.8873052597045898
policies presented understood,regulatory uncertainty,regulatory uncertainty,carbon borders,carbon borders,effect,0.30331495,0.6075,"[('policies', 0.526), ('opposition', 0.3888), ('retaliation', 0.3299), ('nationally', 0.2062), ('presented', 0.1367), ('policies presented', 0.5976), ('risk opposition', 0.4932), ('opposition retaliation', 0.4674), ('nationally risk', 0.4583), ('understood', 0.1165), ('policies presented understood', 0.6075), ('nationally risk opposition', 0.6055), ('retaliation', 0.3299), ('understood nationally', 0.3237), ('presented', 0.1367)]",0.7338407635688782,0.5,"policies such as the carbon border adjustment mechanism can incentivise global climate action and spark international debate, but if these policies are not well presented and understood nationally, there is a risk of opposition and retaliation.",0,0
carbon abatement contract,carbon abatement contracts,carbon abatement contracts,carbon prices,carbon prices,decrease,0.9970393,0.7561,"[('carbon', 0.447), ('exit', 0.4312), ('abatement', 0.4256), ('contract', 0.3732), ('window', 0.2514), ('carbon abatement', 0.6172), ('abatement contract', 0.5743), ('contract exit', 0.5236), ('exit window', 0.4519), ('contract', 0.3732), ('carbon abatement contract', 0.7561), ('abatement contract exit', 0.6697), ('exit window', 0.4519), ('abatement', 0.4256), ('contract', 0.3732)]",0.7683363556861877,-1,"15 the details from down under australia & new zealand australia : compliance entity behaviour and the safeguard mechanism how will the australian market respond to the upcoming surrender period and what will happen to the accu prices ? what effect will the carbon abatement contract exit window have on prices as well as supply dynamics ? new zealand : under the new government how is the emissions trading scheme and the emissions reduction plan 2 going to address longer term issues in the ets and broader climate policy ? what are some of the key structural issues that need addressing to stabilise the market, what role for example will forestry play ? moderator lewis stevens, senior carbon market expert, icap panellists ollie batelier belton, managing director, carbon forest services raphael wood, principal at market advisory group, aurecon 10.",-1,0.9970393180847168
carbon abatement contract,carbon abatement contracts,carbon abatement contracts,carbon prices,carbon prices,effect,0.9989458,0.7561,"[('carbon', 0.447), ('exit', 0.4312), ('abatement', 0.4256), ('contract', 0.3732), ('window', 0.2514), ('carbon abatement', 0.6172), ('abatement contract', 0.5743), ('contract exit', 0.5236), ('exit window', 0.4519), ('contract', 0.3732), ('carbon abatement contract', 0.7561), ('abatement contract exit', 0.6697), ('exit window', 0.4519), ('abatement', 0.4256), ('contract', 0.3732)]",0.7423117756843567,0.5,"15 the details from down under australia & new zealand australia : compliance entity behaviour and the safeguard mechanism how will the australian market respond to the upcoming surrender period and what will happen to the accu prices ? what effect will the carbon abatement contract exit window have on prices as well as supply dynamics ? new zealand : under the new government how is the emissions trading scheme and the emissions reduction plan 2 going to address longer term issues in the ets and broader climate policy ? what are some of the key structural issues that need addressing to stabilise the market, what role for example will forestry play ? moderator lewis stevens, senior carbon market expert, icap panellists ollie batelier belton, managing director, carbon forest services raphael wood, principal at market advisory group, aurecon 10.",0,0
carbon leakage,carbon leakage,carbon leakage,carbon prices,carbon prices,effect,0.30111635,0.9301,"[('carbon', 0.6587), ('leakage', 0.6026), ('carbon leakage', 0.9301), ('carbon', 0.6587), ('leakage', 0.6026), ('carbon leakage', 0.9301), ('carbon', 0.6587), ('leakage', 0.6026)]",0.7688297629356384,0.5,"theoretically, higher carbon prices can lead to carbon leakage, or the relocation of industrial activity and its accompanying emissions out of economies with high carbon prices and into economies with low carbon prices.",0,0
including carbon leakage,carbon pricing disparities,carbon pricing disparities,carbon prices,carbon prices,increase,0.95112664,1,"[('carbon', 0.6237), ('leakage', 0.5339), ('including', 0.2408), ('carbon leakage', 0.8814), ('including carbon', 0.7334), ('carbon', 0.6237), ('leakage', 0.5339), ('including', 0.2408), ('including carbon leakage', 1.0), ('including carbon', 0.7334), ('carbon', 0.6237), ('leakage', 0.5339), ('including', 0.2408)]",0.7310075163841248,1,"however, disparities in carbon pricing across regions posed challenges, including carbon leakagewhere companies relocate production to jurisdictions with less stringent climate policies.",1,0.9511266350746155
wider policy design,carbon pricing policy,carbon pricing policy,carbon prices,carbon prices,increase,0.7356025,0.9351,"[('policy', 0.6583), ('wider', 0.4836), ('design', 0.3995), ('wider policy', 0.8679), ('policy design', 0.7814), ('policy', 0.6583), ('wider', 0.4836), ('design', 0.3995), ('wider policy design', 0.9351), ('wider policy', 0.8679), ('policy', 0.6583), ('wider', 0.4836), ('design', 0.3995)]",0.7129270434379578,1,"ritz assistant director, energy policy research group (eprg) judge business school, cambridge university hill * knowlton roundtable : eu carbon border adjustment mechanism brussels, 24 june 2020 this talk reflects my academic views not necessarily those of any organization agenda for this talk (1) eu import cbam : economic impacts (2) industrial competitiveness : imports vs exports (3) deep decarbonization : the case of steel (4) wider policy design for eu carbon pricing eu carbon border adjustment mechanism eu inception impact analysis (march 2020) "" carbon leakage occurs when production is transferred from the eu to other countries with lower ambition for emission reduction, or when eu products are replaced by more carbon intensive imports...",1,0.7356024980545044
carbon pricing reforms,EU ETS reforms,EU ETS reforms,carbon prices,carbon prices,increase,0.26439747,0.9646,"[('reforms', 0.4963), ('carbon', 0.4606), ('pricing', 0.3927), ('including', 0.1937), ('carbon pricing', 0.8481), ('pricing reforms', 0.6952), ('including carbon', 0.5088), ('reforms', 0.4963), ('including', 0.1937), ('carbon pricing reforms', 0.9646), ('including carbon', 0.5088), ('reforms', 0.4963), ('pricing', 0.3927), ('including', 0.1937)]",0.6506432294845581,1,"1990) adopt legally binding sub-targets for 3 "" emissions sectors "" of economy : ets sectors, non-ets, land use introduced over 20 pieces of sectoral legislation including carbon pricing reforms and cbam 80 60 40 20 0 ne 20-40 2040 net greenhouse gas emissions (including international aviation) target values 2050 agora industr 2005 2010 2015 2020 = = = renewable energy share (percentage points) 2030 greenhouse gas emissions projections with existing measure : = = = 2045 4 | ec (2021) ; eea (2023) ; eurostat (2023) overview of the eu ets 1 3.",1,0.2643974721431732
carbon tax,policy-induced inflation,policy-induced inflation,carbon prices,carbon prices,decrease,0.46617395,0.711,"[('inflation', 0.5247), ('tax', 0.3883), ('carbon', 0.3666), ('pressures', 0.1932), ('dirty', 0.1329), ('carbon tax', 0.711), ('inflation prices', 0.5366), ('sector flexible', 0.3189), ('upward pressures', 0.2759), ('dirty', 0.1329), ('carbon tax', 0.711), ('upward pressures inflation', 0.5433), ('dirty sector flexible', 0.3498), ('prices rest', 0.2519), ('generates', 0.0829)]",0.7378531098365784,-1,sa oom the paper in a nutshell the paper studies how monetary policy should be conducted during the green transition it uses a closed economy dsge framework with a green and a dirty sector to analyze if the transition is inflationary and how monetary policy should respond to the effects of climate policies on inflation it finds that carbon tax generates upward pressures on inflation if prices in the dirty sector are more flexible than prices in the rest of the economy but the transition is not necessarily inflationary : the central bank can keep inflation close to target if it accepts a cost in terms of widening output gap.,-1,0.4661739468574524
subsequent cooldown,reduced economic activity,reduced economic activity,carbon prices,carbon prices,decrease,0.46617395,1,"[('cooldown', 0.8582), ('subsequent', 0.3845), ('subsequent cooldown', 1.0), ('cooldown', 0.8582), ('subsequent', 0.3845), ('subsequent cooldown', 1.0), ('cooldown', 0.8582), ('subsequent', 0.3845)]",0.730399489,-1,"nevertheless, gas markets experienced a subsequent cooldown, leading to a decrease in prices.",-1,0.4661739468574524
structural changes supply,structural supply changes,structural supply changes,carbon prices,carbon prices,effect,0.2839646,0.7802,"[('demand', 0.561), ('structural', 0.471), ('supply', 0.4193), ('changes', 0.2959), ('did', 0.1484), ('supply demand', 0.6684), ('structural changes', 0.6118), ('did structural', 0.5198), ('changes', 0.2959), ('did', 0.1484), ('structural changes supply', 0.7802), ('demand', 0.561), ('did structural', 0.5198), ('changes', 0.2959), ('did', 0.1484)]",0.7307001948356628,0.5,"00 argus overview on carbon pricing driving the demand in the market and global significance of the carbon framework-how did industrial slowdown and changes to the eu generation mix influence the market ?-how did structural changes to supply and demand affect prices ?-how are these factors shaping up to develop this year and beyond ?-how did eu and uk ets prices develop in 2024 ? victoria hatherick editor, argus 10 : 00-10 : 45 workshop on managing cbam compliance cost :-how can cbam data collection and reporting be streamlined for efficiency ?-which strategies help manage and minimize the explicit costs of cbam ?-how can hedging mechanisms provide cost certainty and risk mitigation for cbam ? speakers include : hendrik schuldt managing director carboneer gmb h 10 : 45-11 : 45 coffee and networking break 11.",0,0
carbon adjustment imports,EU CBAM,EU CBAM,carbon reporting,carbon reporting,effect,0.57832783,0.8882,"[('imports', 0.5264), ('carbon', 0.493), ('adjustment', 0.314), ('mechanism', 0.2314), ('carbon adjustment', 0.6773), ('imports', 0.5264), ('carbon', 0.493), ('adjustment', 0.314), ('mechanism', 0.2314), ('carbon adjustment imports', 0.8882), ('imports', 0.5264), ('carbon', 0.493), ('adjustment', 0.314), ('mechanism', 0.2314)]",0.7288334965705872,0.5,"in particular, the mechanism of carbon adjustment of imports has already been dubbed "" bureaucratic madness "" in the eu.",0,0
net zero targets,net-zero targets,net-zero targets,carbon reporting,carbon reporting,increase,0.9968092,0.8169,"[('targets', 0.4102), ('net', 0.3767), ('zero', 0.3299), ('adoption', 0.1977), ('increasing', 0.1125), ('net zero', 0.657), ('targets', 0.4102), ('zero', 0.3299), ('increasing adoption', 0.3027), ('increasing', 0.1125), ('net zero targets', 0.8169), ('net', 0.3767), ('zero', 0.3299), ('increasing adoption', 0.3027), ('increasing', 0.1125)]",0.7449195981025696,1,this shift is underscored by the increasing adoption of net zero targets by various enterprises and jurisdictions.,1,0.996809185
cbam affects,regulatory simplification,regulatory simplification,carbon reporting,carbon reporting,decrease,0.10195997,0.6935,"[('cbam', 0.5477), ('sectors', 0.4229), ('aluminium', 0.3761), ('fertilisers', 0.2399), ('affects', 0.2056), ('cbam affects', 0.6935), ('aluminium fertilisers', 0.4869), ('range sectors', 0.3962), ('steel', 0.3033), ('affects', 0.2056), ('cbam affects', 0.6935), ('steel aluminium fertilisers', 0.5299), ('sectors steel', 0.5199), ('range sectors', 0.3962), ('affects', 0.2056)]",0.7399130463600159,-1,"cbam affects a range of sectors such as steel, aluminium, and fertilisers omnibus : a major potential change the omnibus package could significantly reshape how cbam impacts both european and norwegian companies.",-1,0.10195997357368469
cbam affects,regulatory simplification,regulatory simplification,carbon reporting,carbon reporting,effect,0.34537566,0.6935,"[('cbam', 0.5477), ('sectors', 0.4229), ('aluminium', 0.3761), ('fertilisers', 0.2399), ('affects', 0.2056), ('cbam affects', 0.6935), ('aluminium fertilisers', 0.4869), ('range sectors', 0.3962), ('steel', 0.3033), ('affects', 0.2056), ('cbam affects', 0.6935), ('steel aluminium fertilisers', 0.5299), ('sectors steel', 0.5199), ('range sectors', 0.3962), ('affects', 0.2056)]",0.7074436545372009,0.5,"cbam affects a range of sectors such as steel, aluminium, and fertilisers omnibus : a major potential change the omnibus package could significantly reshape how cbam impacts both european and norwegian companies.",0,0
