concept,category
product safety directive,"Policy, Regulation & Governance"
protection from carbon leakage,"Policy, Regulation & Governance"
public subsidization of fossil fuels,"Policy, Regulation & Governance"
ratification of the paris agreement,"Policy, Regulation & Governance"
regulatory certainty,"Policy, Regulation & Governance"
regulatory enforcement gaps,"Policy, Regulation & Governance"
regulatory harmonization,"Policy, Regulation & Governance"
regulatory pressure,"Policy, Regulation & Governance"
regulatory simplification,"Policy, Regulation & Governance"
regulatory uncertainty,"Policy, Regulation & Governance"
removal of existing carbon protection,"Policy, Regulation & Governance"
renewable energy directive,"Policy, Regulation & Governance"
robust regulatory frameworks,"Policy, Regulation & Governance"
sector exposure to cbam,"Policy, Regulation & Governance"
steel and metals action plan,"Policy, Regulation & Governance"
streamlined european sustainability reporting standards,"Policy, Regulation & Governance"
sustainability reporting,"Policy, Regulation & Governance"
sustainable products initiative,"Policy, Regulation & Governance"
sustainable regulation,"Policy, Regulation & Governance"
the circular economy,"Policy, Regulation & Governance"
waste policy beyond plastic packaging,"Policy, Regulation & Governance"
zero euas 2039,"Policy, Regulation & Governance"
circular supply chains,Supply Chains
circularity,Supply Chains
decarbonization of global supply chains,Supply Chains
export value chains,Supply Chains
global industrial decarbonization,Supply Chains
global supply chain complexity,Supply Chains
narrow carbon accounting focus,Supply Chains
poor alignment of reporting requirements with sustainability performance,Supply Chains
product carbon footprint,Supply Chains
resource input reduction,Supply Chains
structural supply changes,Supply Chains
supplier carbon readiness gap,Supply Chains
supplier misalignment,Supply Chains
supply chain demands,Supply Chains
supply chain emissions,Supply Chains
supply chain emissions reduction,Supply Chains
supply chain sustainability,Supply Chains
supply chain traceability,Supply Chains
supply chain volatility,Supply Chains
sustainable procurement,Supply Chains
sustainable refractory production,Supply Chains
adoption of clean technology,Tech & Innovation
alternative fuel penetration,Tech & Innovation
blockchain technology,Tech & Innovation
digital data exchange,Tech & Innovation
digital infrastructure,Tech & Innovation
digital technology uptake,Tech & Innovation
digitalization,Tech & Innovation
diverse low-carbon technology mix,Tech & Innovation
green technology,Tech & Innovation
investment in carbon capture technology,Tech & Innovation
recycling technology,Tech & Innovation
technical challenges,Tech & Innovation
technological innovation,Tech & Innovation
technological issues,Tech & Innovation
technological trustworthiness,Tech & Innovation
carbon capture acceleration,Tech & Innovation
carbon capture technology,Tech & Innovation
economic downturn,Trade & Markets
economic pressures,Trade & Markets
economic slowdown,Trade & Markets
economic sovereignty concerns,Trade & Markets
economic uncertainty,Trade & Markets
australia carbon contract exit clause,Trade & Markets
carbon abatement contracts,Trade & Markets
carbon market dynamics,Trade & Markets
carbon price,Trade & Markets
carbon pricing disparities,Trade & Markets
carbon-intensive product competitiveness,Trade & Markets
climate finance,Trade & Markets
competitive electricity price,Trade & Markets
cost pass-through effects,Trade & Markets
declining res tariffs,Trade & Markets
demand-side market barriers,Trade & Markets
developing country econonmic vulnerability,Trade & Markets
difficult investment climate,Trade & Markets
energy market dynamics,Trade & Markets
fossil fuel phase-out,Trade & Markets
fossil fuel price,Trade & Markets
gas market price decline,Trade & Markets
geopolitical tensions,Trade & Markets
global trade disruptions,Trade & Markets
halted green investments,Trade & Markets
harmonized carbon pricing,Trade & Markets
high energy costs,Trade & Markets
high energy prices,Trade & Markets
increase auction share,Trade & Markets
increased consumer costs,Trade & Markets
increasing bank rates,Trade & Markets
insufficient decarbonization investments,Trade & Markets
insufficient trade safeguards,Trade & Markets
international trade,Trade & Markets
investment leakage,Trade & Markets
low sustainability-driven demand,Trade & Markets
macroeconomic conditions,Trade & Markets
market overcapacity,Trade & Markets
market-driven sustainability actions,Trade & Markets
negative market responses to cbam,Trade & Markets
reduced economic activity,Trade & Markets
renewable energy certificates,Trade & Markets
sustainability-driven consumer demand,Trade & Markets
tariff exposure,Trade & Markets
trade protectionism,Trade & Markets
