language,id,country,organization,surname,status,date_feedback,is_disliked_by_me,reference_initiative,is_liked_by_me,first_name,feedback,login,publication,user_type,company_size,publication_status,publication_id,tr_number,feedback_text_user_language,scope,governance_level
en,3498572,BEL,EUROFER,AIELLO,PUBLISHED,2024-11-27 18:40:31,False,Ares(2024)7706795,False,Adolfo,Please find attached the EUROFER feedback,,withinfo,business_association,small,closed,33194896,93038071152-83,,,
en,3498571,BEL,Baker Hughes,Piotrowska,PUBLISHED,2024-11-27 18:38:23,False,Ares(2024)7706795,False,Kamila,"Baker Hughes is a leading energy technology company that provides solutions for energy and industrial customers worldwide. We design, manufacture, and service transformative technologies to help take energy forward making it safer, cleaner, and more efficient for the people and the planet. While we operate globally, Europe is a key market and corporate home for Baker Hughes. Across the EU, Norway and the UK, Baker Hughes employs approximately 17,000 people in engineering, manufacturing, and research and development roles. Having gained valuable insights during the Carbon Border Adjustment Mechanism (CBAM) reporting cycle, we would like to share our observations and recommendations in relation to the upcoming supplementary CBAM legislation. Additionally, we have provided comments on the future legislative steps regarding the requirements and the expansion of the EU CBAM. Recommendation: Clarify requirements related to guarantees. Chapter II of the draft Regulation outlines the conditions and procedures related to the status of an authorised CBAM declarant, including the requirement to register a guarantee in the CBAM registry. This guarantee is intended to cover the number of CBAM certificates that the declarant will be required to purchase in order to cover the carbon emissions embedded in imported goods. According to the draft Regulation, the amount of the guarantee will be determined by the competent authorities and is intended to ensure that companies have sufficient financial capacity to meet their CBAM obligations. While the draft Regulation provides detailed provisions on registering and adjusting guarantees, there remains an important question regarding whether companies are required to establish new guarantees specifically for CBAM or if existing guarantees (e.g., bank guarantees already in place for VAT or customs) can be used to meet these new obligations. At present, many companies already have bank guarantees which are common requirements in international trade. Given the similarities in financial guarantees for VAT and customs obligations, there is a question as to whether these existing guarantees can be used to satisfy the new CBAM requirements, or if companies will be expected to open entirely new guarantees. In light of the above considerations, we recommend that the European Commission clarifies whether companies are required to establish new bank guarantees solely for CBAM compliance or if existing guarantees (e.g., for VAT or customs) can be adjusted or repurposed to meet CBAM requirements. Further details can be found in the attachment.",,withinfo,company,large,closed,33194896,914064836171-27,,,
en,3498557,DEU,DIHK,Reinacher,PUBLISHED,2024-11-27 17:41:00,False,Ares(2024)7706795,False,Anne,"2026 marks the start of live operations for CBAM. EU importers must register with the relevant na-tional authorities in the respective EU member states in order to obtain the status of an authorised CBAM declarant. Without this status, EU importers will no longer be able to import CBAM goods from 2026. It is envisaged that the CBAM declarant will have to meet numerous criteria regarding their reliability. The process is complex. In addition, from 2026, the EU importer will have to participate in the trading of emission certificates. These requirements are intended to ensure that the CO2 border adjustment can be calculated accurately. The companies affected would like to see a more practical regulation that is clearly and simply formu-lated. It should also better account of the needs of SMEs and importers with few imports. Otherwise, CBAM could cause small companies to go out of business because the process is too bureaucratic and confusing. In particular, assuming that there will be (especially small) companies that need to import small shipments, such as special screws as spare parts, quickly and only once, without having the sta-tus of a CBAM registrant and will not continue to use it. For theses cases, a simplified process should be applicable: imports with payment according to standard values. This will not jeopardise Fit for 55 in any way. Importers with few imports should generally be able to choose between real values and standard values. For importers with few import shipments, registration (and participation in certificate trading, including settlement) causes a disproportionate amount of work. If these companies are not to be excluded from the import business, the admission process must be radically simplified. This could be done by not requiring companies with few shipments to register, but instead paying the border ad-justment at customs clearance upon import in the amount of the new standard values that have been determined. Ideally, companies would be given the option to choose which route to take. The introduction of the CBAM system from 2026 requires careful preparation. Although the period from January to December 2025 seems sufficient at first glance, time could be short. The DIHK calls on the Commission to closely monitor the authorisation procedures in the member states and to intervene if these procedures do not produce reliable results for companies. Provisional authorisa-tion should be possible in the next year for 2026, for Authorised Economic Operators (AEOs) and for new importers with a shortterm necessity of imports.",,withinfo,other,medium,closed,33194896,22400601191-42,,,
en,3498543,CHE,Glencore International AG,Simons,PUBLISHED,2024-11-27 17:15:34,False,Ares(2024)7706795,False,Chretien,"We thank the European Commission for the opportunity to comment on the draft implementing regulation relating to the Authorisation of Authorised Declarants. We have the following comments: 1. Delay in the Authorisation process: We encourage the Commission to consider what provisions will be made available to importers should they not receive authorised status from the competent authority (as set out in Articles 4 and 5 of the draft implementing regulation) by 1 January 2026. A timeline for final decision on authorisation would be welcome. 2. Development of IT-system and CBAM Registry: Noting the separate consultation relating to development of the CBAM Registry. We encourage the Commission to allow for the development of API connectivity for reporting by Authorised Declarants allowing for multi-country reporting for CBAM purposes and linking of Declarant accounts where suitable. 3. Record of CBAM Declarant during Transition period: We recommend that the Commission provides additional clarification on how CBAM Declarants and existing records will be considered as part of the application process for the authorisation of authorised declarants. This too applies the records of past CBAM Declarants into the CBAM Registry. 4. Definition of Authorised CBAM Declarant: Noting Articles 5 and 17 of Regulation 2023/956, we continue to note challenges relating to the issue of the definition of Authorised CBAM Declarant as it relates to indirect representatives acting as the CBAM Declarant for non-EU established importers in particular in relation to Article 1(c) of the draft implementing regulation. We foresee a challenge whereby most third-party indirect representatives will not accept the financial liability of CBAM Certificates while potentially impacting existing customs arrangements whereby multiple providers are used in different EU Member States for importing products into the EU and VAT compliance. We encourage the Commission to consider additional simplifications. We envision such simplifications could include: - Allow for a splitting of the importer of record purposes of Customs and VAT. We note that Article 5 of Regulation 2013/952 as incorporated in Article 3 of Regulation 2023/956 sets out the that the person liable for applying for the status of authorised CBAM declarant shall either be the customs declarant in its own name or the person in whose name such a declaration is lodged. This would allow for the possibility of a non-EU importer to appoint an EU subsidiary as importer for Customs and CBAM purposes while still remaining the person liable for the payment of the applicable VAT. - Based on existing EU mechanisms such as EU REACH and the designation of a single Only Representative across EU Member States for the purposes of ensuring compliance with relevant EU REACH obligations and the submission of necessary information and data. 5. Clarification of data request: We recommend additional clarification in the Annex to draft implementing regulation to specify whether the box relating to the EORI number refers to the indirect representative or the operator is required. Yours sincerely, Glencore International AG Chrétien Simons Director Product Management",,withinfo,company,large,closed,33194896,,,,
en,3498542,BEL,European Express Association (EEA),Shearman,PUBLISHED,2024-11-27 17:05:05,False,Ares(2024)7706795,False,Alex,The European Express Association (EEA) is pleased to provide its feedback to the consultation regarding authorising CBAM declarants in its attached letter. The EEA is available to address any questions or requests for clarification via our Secretariats functional email: tfc@euroexpress.org.,,withinfo,business_association,large,closed,33194896,1894704851-83,,,
fr,3498533,FRA,Union TLF Overseas,,PUBLISHED,2024-11-27 16:38:54,False,Ares(2024)7706795,False,,"TLF Overseas est la fédération représentative des représentants en douane enregistrés français. A ce titre nos adhérents, seront potentiellement amenés à déposer en 2025 leur demande de candidatures pour devenir ""déclarant MACF autorisé"". Au regard de l'échéance du 1er janvier 2026, date à partir de laquelle il faudra impérativement être ""déclarant MACF autorisé"" pour importer des produits visés, nous avons été surpris par le délai d'instruction de la demande d'autorisation qui nous paraît très long (jusqu'à 150 , voire 180 jours). Serait-il possible de mettre en place une procédure d'autorisation accélérée pour les opérateurs ayant déjà déposé des rapports complets au cour de l'année 2024 ? Les représentants en douane enregistrés, ayant très largement obtenu le statut ""d'opérateur économique agréé"", présentent déjà un niveau de conformité élevé aux critères d'absence d'infractions douanières et de stabilité financière. Pour ces opérateurs bénéficiant déjà d'un statut d'opérateur confiance, identifié par leur numéro d'EORI, est-il possible de mettre en place une procédure simplifiée, dans l'optique de réduire les délais d'obtention de l'agrément de ""déclarant autorisé"" ? Pour les gros importateurs, nous comprenons et soutenons la nécessité d'un audit supplémentaire, mais pensons que le critère envisagé d'une montant de 500 000 euros en valeur de certificats MACF manque d'objectivité étant donné que la valeur des ces derniers sera variable selon le cours du marché ETS. Un critère en tonnes équivalent CO2 nous paraît ainsi plus objectif et sécurisant pour les entreprises, car stable quelles que soit les évolutions du marché ETS. Inversement pour les opérateurs qui importent de faibles volumes, un assouplissement des critères d'obtention du statut de ""déclarant MACF"" nous paraît pertinent pour que ces derniers puissent maintenir leur activité au 1er janvier 2026. Au regard du nombre d'entreprise n'ayant pas déposé de rapport, il nous paraît indispensable de rendre l'accès au statut de ""déclarant MACF autorisé"" moins contraignant pour facilité la mise en conformité des opérateurs et augmenter le nombre de ""déclarant MACF autorisé"" Nous remercions la Commission européenne pour l'opportunité de contribuer à cette consultation publique et restons à sa disposition pour toute précision utile.",,anonymous,business_association,small,closed,33194896,936528650712-80,"TLF Overseas is the representative federation of French registered customs representatives. As such, our members will potentially have to submit their applications for applications to become “authorised CBAM declarant” in 2025. In view of the deadline of 1 January 2026, from which it is essential to be an ‘authorised CBAM declarant’ in order to import the products concerned, we have been surprised by the deadline for examining the application for authorisation, which seems to us to be very long (up to 150 or even 180 days). Would it be possible to put in place an accelerated authorisation procedure for operators who have already submitted full reports to the Court in 2024? Registered customs representatives, having largely been granted the status of “Authorised Economic Operator”, already have a high level of compliance with the criteria of absence of customs infringements and financial stability. Can a simplified procedure be put in place for those traders already enjoying trusted trader status, identified by their EORI number, in order to reduce the time taken to obtain the authorisation of ‘authorised declarant’? For large importers, we understand and support the need for an additional audit, but believe that the envisaged criterion of EUR 500 000 in value of CBAM certificates lacks objectivity as the value of CBAM certificates will vary according to the ETS market price. A criterion in tonnes of CO2 equivalent thus seems to us to be more objective and secure for businesses, as it is stable regardless of developments in the ETS market. Conversely, for operators importing small volumes, we consider it appropriate to relax the criteria for obtaining the status of ‘CBAM declarant’ so that they can maintain their activity on 1 January 2026. In view of the number of companies that have not submitted a report, we consider it essential to make access to the status of ‘authorised CBAM declarant’ less burdensome in order to facilitate compliance by operators and to increase the number of ‘authorised CBAM declarant’. We would like to thank the European Commission for the opportunity to contribute to this public consultation and remain at its disposal for any useful clarification.",,
en,3498531,BEL,CEMBUREAU,Brutin,PUBLISHED,2024-11-27 16:34:04,False,Ares(2024)7706795,False,Emmanuel,"CEMBUREAU welcomes the European Commissions efforts to establish clear rules for the authorisation of CBAM declarants. At this stage, our main recommendation would be to require as much as possible CBAM declarants to use the data provided by third country installations in the CBAM registry which will open in January 2025. We would therefore suggest that, as part of the criteria for laid out as part of article 11.1, a specific criteria is added, to require the applicant to import CBAM goods from third country operators who are registered to the CBAM Registry in accordance with Article 14 of the CBAM Regulation.",,withinfo,business_association,small,closed,33194896,93987316076-63,,,
en,3498524,NLD,Transport and Logistics Netherlands / FENEX ,Van Grembergen,PUBLISHED,2024-11-27 16:27:45,False,Ares(2024)7706795,False,Robbe,"Fenex, the Association for Forwarding and Logistics in the Netherlands, welcomes the opportunity to comment on the Draft Implementing Regulation laying down rules for the conditions and procedures related to the status of authorised CBAM declarant. Fenex fully supports the feedback submitted by CLECAT and the proposals put forward therein regarding trade facilitation and SME support. Fenex would like to emphasise that in the Draft Implementing Regulation no distinction is made between importers and indirect customs representatives. This leads to uncertainty for instance for indirect customs representatives who represent several importers. Will they have to apply for authorisation for every importer separately and how does authorisation work if the customs representative operates in several Member States? Furthermore, in the Draft Implementing Regulation no account is taken of trusted traders i.e. with AEO-status. Trusted traders are recognised as secure and safe business partners who work in close cooperation with customs authorities. Trusted traders should be able to benefit from a smooth authorisation process, to ensure that importers inside and outside of the EU - and SMEs can benefit from indirect customs representation to import CBAM-goods. There is much overlap in the conditions and procedures related to AEO-status and the status of authorised CBAM declarant. Fenex is strongly in favour of automatic approval or simplified procedures for trusted traders to become authorised CBAM declarants.",,withinfo,business_association,medium,closed,33194896,41712511261-57,,,
en,3498522,HRV,HEP d.d.,,PUBLISHED,2024-11-27 16:22:33,False,Ares(2024)7706795,False,,"Dear all, although this is maybe not precisely the gist of this feedback I must urge a question about uncertainties and very poor communication between Commission and declarants. The approach of Commission to CBAM in my opinion is a bit unprofessional and thoughtless. A insufficient amount of data has been provided, methodology has been awaited and obligations of payment are just around the corner. We in Croatia, and other EU bordering country have a lot of problems in understanding CBAM implementation for electricity (in my company case) and we do not have any feedback from Customs or EU in regards to that. Imposition of CBAM tax for which I can find understanding combined with energy market that is not developed fully and that is greatly divided from rest of the Europa thanks to very limited cross border capacity will result in great price deviations and potentially very expensive electrical energy. Beside that it is very likely that it will kill the electrical market in the East. Knowing that this is process that is beyond stopping please take all this factor into account and provide us sufficient date and time to prepare. I sincerely urge Commission to communicate in regards with CBAM more openly and to start providing all necessary data as soon as possible. We need one year of good testing of our declarations to see if the whole thing works. As mentioned, uncertainties, are great and we don not know who to address our questions. Expansion to this ambiguities create problems for our everyday operation. In regards to declaration of CBAM I strongly believe that more opened and explained approach is necessary. Workshops have to organized, official EU commission web page is very poor and does not provide enough data. Legislation and interpretation of CBAM could be widely wrongly interpreted because of this lack of information. A test register should be provided in order that we can check and learn about application of CBAM. Also electrical energy is terribly explained and we can not determine basic facts of what agreements (imports) have to be reported (do we have to have PPA for CBAM exclusion, how transit through non EU country should be reported, what about plain electrical trade transactions, etc.) CBAM is a huge monetary change for trade in all economical aspects. Please provide us sufficient information with practical explanations. And be aware that some countries are more exposed to this legislation than others and that is for them it is of crucial interest to prepare in time. A year period, before taxation will past swiftly and we do not have time to loose in the abyss of misinterpretation and poor communication. Thank you",,anonymous,company,large,closed,33194896,,,,
de,3498520,DEU,MTU Aero Engines AG,SCHMID,PUBLISHED,2024-11-27 16:07:35,False,Ares(2024)7706795,False,Klaus,"Wir als AEO sollten auch automatisch als CBAM-Declarant agieren können. Die Anforderungen an einen Autorisierten CBAM-Anmelder (authorised CBAM declarant) stellen einen kleinen Ausschnitt des AEO-Anforderungskatalogs dar. Mit der Erfüllung der Pflichten als AEO werden heute schon die Anforderungen zum CBAM-Declarant übererfüllt. Daher sollten wir als AEO ohne weiteren Zulassungsantrag als CBAM-Anmelder tätig sein können. Dies würde uns und der Behörde Zeit und Aufwand sparen und zusätzliche Bürokratie vermeiden. Gleichzeitig würde es den Status des AEO attraktiver machen und zukünftig auf den Trust&Check-Wirtschaftsbeteiligten im Zuge der geplanten Zollreform einzahlen. Es sollte darüber hinaus dringend geklärt werden, welche unmittelbaren Abhängigkeiten zukünftig zwischen CBAM-Autorisierung und dem zollrechtlichen Status bestehen.",,withinfo,company,large,closed,33194896,,"We, as AEOs, should also be able to act automatically as CBAM declarant. The requirements for an authorised CBAM declarant are a small excerpt of the AEO Requirements Catalogue. The fulfilment of AEO obligations already exceeds the requirements of the CBAM declarant. Therefore, we should be able to act as an AEO as CBAM declarant without further application for authorisation. This would save us and the Authority time and effort and avoid additional bureaucracy. At the same time, it would make the status of the AEO more attractive and in the future contribute to the Trust &amp; Check Operators as part of the planned customs reform. It should also be clarified as a matter of urgency what immediate dependencies will exist between CBAM authorisation and customs status in the future.",,
en,3498512,ITA,Arvedi Group,,PUBLISHED,2024-11-27 15:58:44,False,Ares(2024)7706795,False,,"There is in a significant risk for the CBAM effectiveness, if CBAM declarants are not sufficiently screened and controlled, and are allowed to make imports of CBAM goods for extended periods of time with emissions declarations that are lower than default values but without having received solid data from the manufacturers. In effect, in most cases the CBAM declarant will not have access to the data, or have the skills necessary to determine on their own whether actual emissions were calculated accurately. The only way for CBAM declarants to have any chance to be right about emissions lower than default value is if they receive emission data that comes from foreign manufacturers that have registered on the CBAM registry, and submitted third-party verified report. In accordance with Article 10 of the CBAM Regulation, installation operators in third countries can apply for registration, upload installation data, and submit emissions data via the CBAM Registry, which will open in January 2025. Operators in third countries who register and provide verified emission data via the CBAM Registry are likely to be more trustworthy in terms of quality of emission data since they are confident enough to share the information directly with the Commission. There is currently no obligation, no incentive even, under the CBAM Regulation for EU importers to make best efforts to import CBAM goods from third country operators who are registered to the CBAM Registry. Thus, the draft Implementing Regulation does not directly include any wording on this. At the same time, we note that the draft IR provides in recital (10) that to ensure that only bona fide importers become authorised CBAM declarants, the competent authorities should make sure that the applicant has not been involved in a serious or repeated infringement of legislation including economic criminal offences, and that it has a good financial rating and provides detailed rules on criteria for granting the status of authorized CBAM declarant in Article 10 (serious or repeated infringements) and Article 11 (conditions for financial and operational capacity). We suggest the to amend Article 11.1(e), as indicated below. In addition, when the competent authority determines the revocation of the status of authorized CBAM declarants in accordance with Article 23 of the draft Implementing Regulation, the competent authority could consider the fact that that the authorized CBAM declarants made use of third country operators registered in the CBAM Registry as an indication of good faith to comply with CBAM obligations. Article 11.1 of the draft IR provides as follows: The criteria laid down in Article 17(2), point (b), of Regulation (EU) 2023/956 shall be fulfilled where the following conditions are met: (a) the applicant is not subject to bankruptcy proceedings; (b) the applicant is not in arrears with the payment of customs duties, taxes or charges which are collected on or in connection with the import of goods, financial regulatory obligations and all other duties related to its economic activity; (c) the applicant demonstrates, on the basis of supporting documents provided together with the application, a sufficient financial standing to meet its obligations and fulfil commitments having regard to the type and volume of the economic activity performed by indicating the financial figures and any other financial information; (d) the applicant has an administrative organisation suitable for fulfilment of the estimated obligations to surrender CBAM certificates, and has internal controls capable of preventing, detecting and correcting errors in CBAM declarations and CBAM certificates management, and of preventing and detecting illegal or any irregular transactions. (e) the applicant imports CBAM goods from third country operators who are registered to the CBAM Registry in accordance with Article 14 of the CBAM Regulation, where possible.",,anonymous,company,large,closed,33194896,,,,
en,3498490,RUS,Ministry of Economic Development of the Russian Federation,,PUBLISHED,2024-11-27 14:38:15,False,Ares(2024)7706795,False,,Please find attached suggestions of the Ministry of Economic Development of the Russian Federation on the European Commission's draft implementing regulation (EU) / of XXX laying down rules for the application of Regulation (EU) 2023/956 of the European Parliament and of the Council as regards the conditions and procedures related to the status of authorised CBAM declarant,,anonymous,public_authority,large,closed,33194896,,,national,authority
